Provincia,lat,lon,Poblacion,Superficie,Region,Pais,SE,FechaReporte,IA,SAV-C,SAV-P,SAV-Nexo,SAV-Total,SAV-Serotipos,CAVE-C,CAVE-P,Importados,CAVOP-C,CAVOP-P,Autoctonos,EnInv-C,EnInv-P,Total en Inv,Total notificados para dengue,Diferencia Semana Anterior,AcumFallecidos,Letalidad
Buenos Aires,-37,-61,17541141,307571,Centro,Argentina,30,2020/07/25,0.63,4401,8,1694,6103,,,,381,110,,6653,,,59,12952,103,5,0.0000
CABA,-35,-58,3075646,200,Centro,Argentina,30,2020/07/25,3.48,3870,1,2894,6765,,,,298,107,,7176,,,6,11855,1,1,0.0000
Córdoba,-32,-64,3760450,165321,Centro,Argentina,30,2020/07/25,0.51,4214,1,1025,3440,,,,25,19,,3631,,,147,8583,-2,5,0.0001
Entre Ríos,-32,-59,1385961,78781,Centro,Argentina,30,2020/07/25,1.37,372,2,179,553,,,,17,19,,599,,,10,1375,-15,1,0.0001
Santa Fe,-31,-61,3536418,133007,Centro,Argentina,30,2020/07/25,0.82,1797,8,2671,4476,,,,43,29,,4600,,,52,7795,-23,4,0.0001
Mendoza,-35,-69,1990338,148827,Cuyo,Argentina,30,2020/07/25,0.20,1,0,3,4,,,,4,4,,15,,,3,32,0,0,0.0000
San Juan,-31,-69,781217,89651,Cuyo,Argentina,30,2020/07/25,1.15,83,1,0,84,,,,0,9,,102,,,9,240,0,0,0.0000
San Luis,-34,-66,508328,76748,Cuyo,Argentina,30,2020/07/25,1.38,18,0,0,18,,,,1,7,,28,,,2,133,0,0,0.0000
Chaco,-26,-61,1204541,99633,NEA,Argentina,30,2020/07/25,2.32,2753,3,349,3105,,,,12,28,,3265,,,120,6447,65,1,0.0001
Corrientes,-29,-58,1120801,88199,NEA,Argentina,30,2020/07/25,6.69,2173,52,9,2234,,,,47,75,,2561,,,205,5787,7,0,0.0000
Formosa,-25,-60,605193,72066,NEA,Argentina,30,2020/07/25,1.98,221,0,1190,1411,,,,36,12,,1463,,,4,2007,167,0,0.0000
Misiones,-27,-55,1261294,29801,NEA,Argentina,30,2020/07/25,0.95,2016,1,4611,6628,,,,28,12,,6714,,,46,7567,138,2,0.0002
Catamarca,-27,-67,415438,102602,NOA,Argentina,30,2020/07/25,9.39,254,3,18,275,,,,2,39,,328,,,12,1549,0,0,0.0000
